time;model_id;model_name;port_name;data
0;4;centrosome_Bottom;;stable
0;4;centrosome_Bottom;;stable
5;4;centrosome_Bottom;;duplicated
7;4;centrosome_Bottom;status_out;ready
7;4;centrosome_Bottom;;duplicated
10;4;centrosome_Bottom;;migrating
13;4;centrosome_Bottom;status_out;ready
13;4;centrosome_Bottom;;migrating
15;4;centrosome_Bottom;;at_poles
15;4;centrosome_Bottom;status_out;ready
15;4;centrosome_Bottom;;at_poles
20;4;centrosome_Bottom;;at_poles
20;4;centrosome_Bottom;status_out;ready
20;4;centrosome_Bottom;;at_poles
23;4;centrosome_Bottom;;at_poles
