time;model_id;model_name;port_name;data
0;4;statusChecker;;Interphase
0;4;statusChecker;;Prophase
0;4;statusChecker;transition;allow_transition
0;4;statusChecker;;Prophase
5;4;statusChecker;;Prophase
10;4;statusChecker;;Prophase
15;4;statusChecker;;Prophase
20;4;statusChecker;;Metaphase
20;4;statusChecker;transition;allow_transition
20;4;statusChecker;;Metaphase
30;4;statusChecker;;Metaphase
35;4;statusChecker;;Metaphase
40;4;statusChecker;;Metaphase
45;4;statusChecker;;Anaphase
45;4;statusChecker;transition;allow_transition
45;4;statusChecker;;Anaphase
55;4;statusChecker;;Anaphase
60;4;statusChecker;;Anaphase
65;4;statusChecker;;Anaphase
70;4;statusChecker;;Telophase
70;4;statusChecker;transition;allow_transition
70;4;statusChecker;;Telophase
70;4;statusChecker;;Telophase
